codigo;descripcion;precio;unidades;um
3524603;MARLBORO RED 35S;10.00;5;Cajetilla
3524680;ESSE WHITE (20);4.80;10;Cajetilla
3524707;BRANIFF LINEA D´ORO 510 DISPLAY TTE;78.00;1;Unidad
3524740;PARTAGAS CLUB 20;12.20;5;Caja
3524741;NOBEL 25;6.50;8;Cajetilla
3524804;CAO ARCANA STOKK BELICOSO 20;300.00;1;Caja
3524808;REPOSADO CONNECTICUT TORPEDO 10;19.50;1;Estuche
3524809;REPOSADO COLORADO TORPEDO 10;19.50;1;Estuche
3524810;NEWS (100g);21.50;1;Bolsa
3524811;JPS (450G);99.50;1;Bote
3524812;DENIM 100 MIX DISPLAY;92.00;1;Unidad
3524860;DISPENSADOR MIX NOB SSL FRESH;200.00;1;Unidad
3524861;DISPENSADOR MIX MIN NOB SSL FRESH;100.00;1;Unidad
3524865;AMBER LEAF VIRGINIA NATURE (30 G);6.30;5;Bolsa
3524880;DISPLAY MIX H&B 2026;90.00;1;Unidad
3524890;DISPLAY EXCITE 2026;94.00;1;Unidad
3524927;LUCKIES RED 40;9.00;5;Cajetilla
3524953;Display Al Capone DUO FILTER (80) TTE;24.00;1;Unidad
3524958;CAMEL LEGEND;5.10;10;Cajetilla
3524973;D.TOMAS CLASICO ALLEGRO TUBE 20;120.00;1;Caja
3524975;DENIM VELVET GOLD FILTER CIGAR (17);2.50;10;Caja
3524977;TOBACCO FARM VIRGINIA 30G;5.65;10;Bolsa
3524993;PUEBLO PINK 30 G;7.10;10;Bolsa
3525048;BULLBRAND AB. & NEGRO FILTER MIX-DISP 80;13.00;1;Unidad
3525051;DISPLAY MADDOX MIX 2026;90.00;1;Unidad
3525064;JPS DEEP RED 24;5.80;8;Cajetilla
3525090;BAROUDEUR GOLD 500g;34.90;1;Lata
3525091;BAROUDEUR GOLD 999g;69.00;1;Lata
3525132;CAO PILON CORONA 20;110.00;1;Caja
3525134;LE BARON 100G;6.90;1;Bolsa
3525142;VEO CORAL TWIST;4.00;10;Cajetilla
3525143;VEO INDIGO TWIST;4.00;10;Cajetilla
3525163;DENIM VELVEL GOLD 17´S DISPLAY TTE;25.00;1;Unidad
3525166;JPS DEEP RED 100S;4.85;10;Cajetilla
3525170;JOCKEY ORIGINAL RED (400G);28.50;1;Bote
3525215;JPS DEEP RED KS;4.90;10;Cajetilla
3525237;DAVIDOFF ESCURIO ROBUSTO (12);194.40;1;Caja
3525238;LA AURORA FAM CREED FUERTE SOL TORO (20);190.00;1;Caja
3525239;LA AURORA FAM CREED FUERTE SOL G TORO 20;200.00;1;Caja
3525240;LA AURORA FAM CREED FUERTE SOL ROBU (20);160.00;1;Caja
3525255;AL FAKHER RED PATCH 200G;17.50;1;Bote
3525256;AL FAKHER BIG CORAL 200G;17.50;1;Bote
3525257;AL FAKHER TWIWI 200G;17.50;1;Bote
3525258;AL FAKHER WHITE POD 200G;17.50;1;Bote
3525282;Display ESSE-10 2026;48.00;1;Unidad
3525299;DISPENSADOR MIX NOB SSL FRESH;200.00;1;Unidad
3525311;DAVIDOFF PURO DOM SHORT ROBUSTO (12);186.00;1;Caja
3525312;DAVIDOFF PURO DOMINICANO CORONA LARGA(5);91.50;1;Estuche
3525313;DAVIDOFF PURO DOMINICA CORONA LARGA (12);219.60;1;Caja
3525314;DAVIDOFF PURO DOMINICANO PERFECTO (5);98.50;1;Estuche
3525315;DAVIDOFF PURO DOMINICANO PERFECTO (12);236.40;1;Caja
3525316;DAVIDOFF PURO DOMINICA SHORT ROBUSTO (5);77.50;1;Estuche
3525424;TRABUCOS T-10  TT NP DISPLAY 200;58.00;1;Unidad
3525493;FAIRGREEN MIX DISPLAY (300gr);55.00;1;Unidad
